Fighter_URL,Height,Weight,Reach,Stance,DoB
http://www.ufcstats.com/fighter-details/5140122c3eecd307,"5' 11""",170,"71""",Orthodox,"Nov 27, 1991"
http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,--,155,--,,"Jul 13, 1978"
http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,"5' 11""",155,--,Orthodox,"Jul 03, 1983"
http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,"5' 11""",185,--,Orthodox,"Apr 27, 1984"
http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,"5' 11""",185,--,Southpaw,"Jun 30, 1978"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,"6' 0""",265,--,Switch,--
http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,"5' 6""",145,--,Orthodox,--
http://www.ufcstats.com/fighter-details/2620f3eb21c79614,"6' 0""",225,--,Southpaw,--
http://www.ufcstats.com/fighter-details/a77633a989013265,"6' 1""",185,"76""",Orthodox,"Jan 13, 1988"
http://www.ufcstats.com/fighter-details/7279654c7674cd24,"6' 0""",205,"74""",Orthodox,"Dec 24, 1992"
http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8,"5' 5""",125,"65""",Southpaw,"Jul 29, 1992"
http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,"6' 3""",225,--,Orthodox,"Apr 26, 1965"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,"6' 3""",235,"76""",Orthodox,"Sep 02, 1981"
http://www.ufcstats.com/fighter-details/1c5879330d42255f,"5' 8""",180,--,Orthodox,"Dec 27, 1977"
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,"6' 4""",185,"80""",Switch,"Jul 22, 1989"
http://www.ufcstats.com/fighter-details/6cadc0a0ba7dc015,"5' 10""",185,--,,--
http://www.ufcstats.com/fighter-details/a08ddd04eaffd81d,"5' 6""",125,"68""",Southpaw,"Apr 07, 1997"
http://www.ufcstats.com/fighter-details/83b00f7597e5ac83,"6' 5""",265,"80""",Orthodox,"Jan 16, 1992"
http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb,"5' 8""",155,--,Orthodox,"Jan 13, 1979"
http://www.ufcstats.com/fighter-details/8f382b3baa954d2a,"5' 3""",115,"63""",Orthodox,"May 08, 1982"
http://www.ufcstats.com/fighter-details/501821d7fb7b95c1,"6' 0""",185,--,,"Feb 10, 1988"
http://www.ufcstats.com/fighter-details/44aa652b181bcf68,"5' 10""",170,--,Orthodox,--
http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,"5' 7""",155,"73""",Orthodox,"Sep 07, 1988"
http://www.ufcstats.com/fighter-details/ae071698e1a3ccd4,"5' 9""",170,"72""",Switch,"Nov 25, 1991"
http://www.ufcstats.com/fighter-details/2eada40ac8801559,"5' 4""",135,--,Southpaw,"Jul 27, 1974"
http://www.ufcstats.com/fighter-details/16690d100f995f8f,"6' 0""",185,"73""",Orthodox,"Oct 12, 1987"
http://www.ufcstats.com/fighter-details/38b50fd1e1b5b656,"6' 2""",205,--,Orthodox,"May 14, 1982"
http://www.ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,"5' 9""",155,--,Orthodox,--
http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,"5' 10""",170,"72""",Switch,"Dec 19, 1991"
http://www.ufcstats.com/fighter-details/b0550072e5f0afa7,"5' 10""",170,"75""",Orthodox,"Jul 29, 1975"
http://www.ufcstats.com/fighter-details/7578cc6bd750206b,"6' 2""",205,"75""",Orthodox,"Jun 07, 1991"
http://www.ufcstats.com/fighter-details/2144954270be834d,"5' 6""",135,--,,--
http://www.ufcstats.com/fighter-details/6d35bf94f7d30241,"5' 5""",125,"68""",Orthodox,"Oct 27, 1993"
http://www.ufcstats.com/fighter-details/1cf1310684a841f5,"6' 2""",245,"77""",Orthodox,"Jul 14, 1973"
http://www.ufcstats.com/fighter-details/1897b7b913736a7c,"5' 5""",135,"66""",Orthodox,"Dec 14, 1991"
http://www.ufcstats.com/fighter-details/9b28292abe3166d5,--,225,--,,--
http://www.ufcstats.com/fighter-details/184b955181bdef52,"5' 10""",188,--,Orthodox,--
http://www.ufcstats.com/fighter-details/7bd94b60d7521e4a,"5' 8""",135,"68""",Orthodox,"Oct 13, 1986"
http://www.ufcstats.com/fighter-details/c482c8605455a213,"6' 3""",264,"74""",Orthodox,"Mar 15, 1991"
http://www.ufcstats.com/fighter-details/dd1b90eea08887f6,--,185,--,Orthodox,--
http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,"5' 2""",115,"63""",Orthodox,"Jul 14, 1990"
http://www.ufcstats.com/fighter-details/2f95a3c6d58b2aad,"5' 9""",135,"71""",Southpaw,"Aug 04, 1980"
http://www.ufcstats.com/fighter-details/39f62b833e4cf126,--,--,--,,--
http://www.ufcstats.com/fighter-details/7c6e87729e824ef4,"6' 2""",185,"78""",Orthodox,"Nov 18, 1982"
http://www.ufcstats.com/fighter-details/1e38bba6738b7b10,"5' 3""",145,--,,"Jun 10, 1970"
http://www.ufcstats.com/fighter-details/c487223b0289bda9,"5' 11""",170,"72""",Orthodox,"Aug 17, 1988"
http://www.ufcstats.com/fighter-details/578ef12674df1e6a,"5' 9""",135,"68""",Orthodox,"Mar 26, 1988"
http://www.ufcstats.com/fighter-details/d26934530dc5b248,"6' 1""",250,--,Orthodox,"Aug 25, 1977"
http://www.ufcstats.com/fighter-details/fe5a9547479396ab,"5' 9""",145,"71""",Orthodox,"Oct 14, 1986"
http://www.ufcstats.com/fighter-details/6fd953151d981979,"5' 5""",125,"67""",Southpaw,"Sep 29, 1992"
http://www.ufcstats.com/fighter-details/0541480fbf719d86,"6' 0""",205,"72""",Orthodox,"Mar 22, 1972"
http://www.ufcstats.com/fighter-details/d53482bef23235ba,"6' 0""",185,"75""",Southpaw,"May 05, 1989"
http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,"5' 7""",135,"70""",Orthodox,"Sep 09, 1986"
http://www.ufcstats.com/fighter-details/8fd76e1b49c00ae2,"5' 9""",155,--,Orthodox,"Sep 25, 1977"
http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02,"5' 10""",155,"72""",Orthodox,"Jul 05, 1979"
http://www.ufcstats.com/fighter-details/b757c73f443d4fca,"6' 2""",170,--,Orthodox,"Aug 06, 1974"
http://www.ufcstats.com/fighter-details/4b37a0bc2ab4cae1,"5' 8""",145,--,,"May 09, 1983"
http://www.ufcstats.com/fighter-details/e70de1859b7ee78e,"5' 11""",170,"74""",Orthodox,"Sep 17, 1984"
http://www.ufcstats.com/fighter-details/41b34b7f11f6d085,--,--,--,,--
http://www.ufcstats.com/fighter-details/669a3cb6e394f515,"5' 10""",199,--,Orthodox,--
http://www.ufcstats.com/fighter-details/9abc648e76c4493a,"6' 0""",145,"73""",Switch,"Jun 09, 1989"
http://www.ufcstats.com/fighter-details/e17770faae3ca54c,"6' 3""",250,--,,"Jun 10, 1984"
http://www.ufcstats.com/fighter-details/1e13936d708bcff7,"6' 2""",205,--,Open Stance,"Jan 13, 1967"
http://www.ufcstats.com/fighter-details/6ebe96a116e79e52,"6' 1""",205,"75""",Orthodox,"Feb 22, 1993"
http://www.ufcstats.com/fighter-details/2f181c0467965b98,"6' 2""",185,"75""",Orthodox,"Dec 28, 1995"
http://www.ufcstats.com/fighter-details/91186547a7f3f758,"6' 0""",170,"74""",Orthodox,"Nov 29, 1976"
http://www.ufcstats.com/fighter-details/040a74bb0a465c54,"5' 8""",145,"70""",Southpaw,"Jan 22, 1994"
http://www.ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,"5' 11""",170,"76""",Orthodox,"Feb 19, 1981"
http://www.ufcstats.com/fighter-details/d615d6a10a4704cd,"6' 0""",155,--,,"Jun 06, 1985"
http://www.ufcstats.com/fighter-details/f16ddfa31236efed,"5' 4""",125,--,Orthodox,"Oct 17, 1988"
http://www.ufcstats.com/fighter-details/2b074403b7c6cdb4,"5' 7""",145,"70""",Southpaw,"Jul 31, 1991"
http://www.ufcstats.com/fighter-details/67a992d4cff22466,"5' 6""",115,--,Orthodox,"Mar 05, 1989"
http://www.ufcstats.com/fighter-details/49b130de1da2e1bf,"5' 4""",135,"63""",Southpaw,"Jun 01, 1991"
http://www.ufcstats.com/fighter-details/41e83a89929d1327,"5' 2""",135,--,,--
http://www.ufcstats.com/fighter-details/33a331684283900f,"5' 9""",155,"69""",Orthodox,"Jan 11, 1984"
http://www.ufcstats.com/fighter-details/c61b49cec6abd6b9,"5' 10""",170,--,,--
http://www.ufcstats.com/fighter-details/c6bf75775b278ed8,"6' 2""",170,--,,"Feb 27, 1980"
http://www.ufcstats.com/fighter-details/e87a13e02c01331d,"5' 6""",135,"68""",Orthodox,"Sep 23, 1990"
http://www.ufcstats.com/fighter-details/c11036da9162cb5f,"5' 10""",185,--,Orthodox,--
http://www.ufcstats.com/fighter-details/e741536153227386,"6' 0""",235,--,Orthodox,"Jul 14, 1971"
http://www.ufcstats.com/fighter-details/4438482bd1d5a029,"5' 8""",125,"69""",Orthodox,"Mar 08, 1988"
http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,"6' 3""",155,"77""",Orthodox,"Mar 02, 1994"
http://www.ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,"6' 0""",170,--,Southpaw,"Aug 08, 1988"
http://www.ufcstats.com/fighter-details/bd92cf5da5413d2a,--,--,--,,--
http://www.ufcstats.com/fighter-details/20821819c401ced8,"6' 0""",154,--,Orthodox,--
http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f,"5' 9""",170,"70""",Orthodox,"Oct 03, 1983"
http://www.ufcstats.com/fighter-details/d156513a19acf856,"6' 2""",205,"75""",Southpaw,"May 06, 1986"
http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,"5' 11""",170,"72""",Orthodox,"Jan 04, 1991"
http://www.ufcstats.com/fighter-details/029afd138865d20a,"5' 8""",145,"68""",Orthodox,"Oct 10, 1990"
http://www.ufcstats.com/fighter-details/ee0b69e307c857e5,--,185,--,,--
http://www.ufcstats.com/fighter-details/c912f676692c353a,"6' 2""",315,--,Southpaw,"Jan 26, 1970"
http://www.ufcstats.com/fighter-details/1e327b281ef6a745,"6' 2""",170,"76""",Orthodox,"Oct 30, 1986"
http://www.ufcstats.com/fighter-details/247fbbfafea60bb1,"5' 5""",115,--,Southpaw,"Jul 11, 1987"
http://www.ufcstats.com/fighter-details/70fa1c64a2c439ef,"5' 10""",185,"74""",Orthodox,"Apr 06, 1988"
http://www.ufcstats.com/fighter-details/d562b12b8fe88336,"5' 10""",170,--,Orthodox,--
http://www.ufcstats.com/fighter-details/87a1dc546b1c5caf,"5' 10""",145,"72""",Southpaw,"Nov 08, 1988"
http://www.ufcstats.com/fighter-details/23a8c33869bf5392,"5' 11""",185,--,Orthodox,"Nov 21, 1985"
http://www.ufcstats.com/fighter-details/8738eacd62e82a32,"6' 2""",230,--,Southpaw,"May 29, 1971"
http://www.ufcstats.com/fighter-details/cad24459b28592ca,"6' 1""",185,"75""",Southpaw,"Apr 21, 1987"
http://www.ufcstats.com/fighter-details/9199e0735b83dd32,"5' 6""",240,--,,"Jul 16, 1974"
http://www.ufcstats.com/fighter-details/19ba965651486013,"6' 0""",155,--,,"Feb 02, 1990"
http://www.ufcstats.com/fighter-details/5e4eec08896c9423,"6' 3""",205,"79""",Orthodox,"Sep 22, 1989"
http://www.ufcstats.com/fighter-details/53adf5b845d91e4a,"5' 8""",190,--,Orthodox,--
http://www.ufcstats.com/fighter-details/1ffc38f67785797b,"5' 6""",160,--,Orthodox,--
http://www.ufcstats.com/fighter-details/1562b12763cc8d67,"5' 11""",200,--,Orthodox,"May 14, 1974"
