F1_URL,F1_First,F1_Last,F2_URL,F2_First,F2_Last,Fight_URL,Fight_Date
http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom,Aaron,http://www.ufcstats.com/fighter-details/343d57cde1a14338,Matt,Ricehouse,,"Dec. 04, 2010"
http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom,Aaron,http://www.ufcstats.com/fighter-details/377bc9dc0b2745f9,Eric,Steenberg,,"May. 15, 2010"
http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,Danny,Abbadi,http://www.ufcstats.com/fighter-details/04d5718ed2661e8c,Jorge,Gurgel,,"Sep. 23, 2006"
http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,Danny,Abbadi,http://www.ufcstats.com/fighter-details/c8136ab8aa32c974,Kalib,Starnes,,"Jun. 24, 2006"
http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo,Abreu,http://www.ufcstats.com/fighter-details/92fa1401b7927da3,Jake,Collier,,"Jun. 06, 2015"
http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo,Abreu,http://www.ufcstats.com/fighter-details/fb79582c410d049e,Wagner,Silva,,"May. 31, 2014"
http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Papy,Abedi,http://www.ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan,Andrews,,"Aug. 28, 2013"
http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Papy,Abedi,http://www.ufcstats.com/fighter-details/98ec9f385cca47fc,Besam,Yousef,,"Apr. 06, 2013"
http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Papy,Abedi,http://www.ufcstats.com/fighter-details/19a8cce18a1cef9e,James,Head,,"Apr. 14, 2012"
http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Papy,Abedi,http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f,Thiago,Alves,,"Nov. 05, 2011"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,Curtis,Blaydes,,"Sep. 07, 2019"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2,Marcin,Tybura,,"Apr. 20, 2019"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/3738e68d2261e60f,Andrei,Arlovski,,"Sep. 15, 2018"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/01b352b6a9074d5c,Chase,Sherman,,"Nov. 25, 2017"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/d3df1add9d9a7efb,Derrick,Lewis,,"Dec. 09, 2016"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/03f982ca3735070c,Walt,Harris,,"Oct. 01, 2016"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/c727c7d31c50c4cf,Anthony,Hamilton,,"Feb. 21, 2016"
http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil,Abdurakhimov,http://www.ufcstats.com/fighter-details/cc900af167fbedfd,Timothy,Johnson,,"Apr. 04, 2015"
http://www.ufcstats.com/fighter-details/5140122c3eecd307,Daichi,Abe,http://www.ufcstats.com/fighter-details/e64b96c07d7ce999,Li,Jingliang,,"Jun. 23, 2018"
http://www.ufcstats.com/fighter-details/5140122c3eecd307,Daichi,Abe,http://www.ufcstats.com/fighter-details/4c288a2b250bb576,Luke,Jumeau,,"Feb. 10, 2018"
http://www.ufcstats.com/fighter-details/5140122c3eecd307,Daichi,Abe,http://www.ufcstats.com/fighter-details/203c957eac95dd87,Hyun,Gyu,,"Sep. 22, 2017"
http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki,Abe,http://www.ufcstats.com/fighter-details/990060b2a68a7b82,Naoki,Matsushita,,"Aug. 27, 2006"
http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki,Abe,http://www.ufcstats.com/fighter-details/16d09e800ad7ec79,Luiz,Firmino,,"Jul. 19, 2004"
http://www.ufcstats.com/fighter-details/2620f3eb21c79614,Scott,Adams,http://www.ufcstats.com/fighter-details/b4bc2e3353a770b5,Ian,Freeman,,"Mar. 10, 2000"
http://www.ufcstats.com/fighter-details/1c5879330d42255f,Daniel,Acacio,http://www.ufcstats.com/fighter-details/8ddf9c51c5fdea75,Rousimar,Palhares,,"Dec. 06, 2007"
http://www.ufcstats.com/fighter-details/1c5879330d42255f,Daniel,Acacio,http://www.ufcstats.com/fighter-details/b2acebbef8da14ea,Akihiro,Gono,,"Sep. 25, 2005"
http://www.ufcstats.com/fighter-details/1c5879330d42255f,Daniel,Acacio,http://www.ufcstats.com/fighter-details/5e7a28f20927d64a,Kazuo,Misaki,,"Jul. 17, 2005"
http://www.ufcstats.com/fighter-details/1c5879330d42255f,Daniel,Acacio,http://www.ufcstats.com/fighter-details/4f74c8be51db8a37,Daiju,Takase,,"Apr. 03, 2005"
http://www.ufcstats.com/fighter-details/7279654c7674cd24,Klidson,Abreu,http://www.ufcstats.com/fighter-details/5444c5a201d3ee5a,Jamahal,Hill,,"May. 30, 2020"
http://www.ufcstats.com/fighter-details/7279654c7674cd24,Klidson,Abreu,http://www.ufcstats.com/fighter-details/0d980975001ae3d8,Shamil,Gamzatov,,"Nov. 09, 2019"
http://www.ufcstats.com/fighter-details/7279654c7674cd24,Klidson,Abreu,http://www.ufcstats.com/fighter-details/d156513a19acf856,Sam,Alvey,,"Jul. 20, 2019"
http://www.ufcstats.com/fighter-details/7279654c7674cd24,Klidson,Abreu,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e,Magomed,Ankalaev,,"Feb. 23, 2019"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/27541033b97c076d,Kevin,Ferguson,,"Feb. 16, 2008"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/f0abbb6f3444dae7,Paul,Buentello,,"Oct. 07, 2006"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/2eae41f61776c60f,Hidehiko,Yoshida,,"Aug. 28, 2005"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/4e9fb05d7e5e61b8,Wesley,Correira,,"Nov. 21, 2003"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/08ae5cd9aef7ddd3,Kimo,Leopoldo,,"Jun. 06, 2003"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/1ff9589f9065a9ed,Frank,Mir,,"Feb. 28, 2003"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/b44f39a5c6596953,Pedro,Rizzo,,"Oct. 16, 1998"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/706404da0775dcbc,Hugo,Duarte,,"May. 15, 1998"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/e06fd1260ac865a7,Yoji,Anjo,,"Dec. 21, 1997"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/33e33d51f289d2a1,Maurice,Smith,,"Oct. 17, 1997"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/0ee783aa00e468f0,Vitor,Belfort,,"May. 30, 1997"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,Don,Frye,,"Dec. 07, 1996"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/13e62d766b709aa6,Steve,Nelmark,,"Dec. 07, 1996"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/de3ed2e152520c8d,Cal,Worsham,,"Dec. 07, 1996"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/977081bc01197656,Scott,Ferrozzo,,"Sep. 20, 1996"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,Sam,Adkins,,"Sep. 20, 1996"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/c670aa48827d6be6,Dan,Severn,,"Dec. 16, 1995"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/ad047e3073a775f3,Steve,Jennum,,"Dec. 16, 1995"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/1dc56b59cb28425d,Oleg,Taktarov,,"Jul. 14, 1995"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/07a18ae55dfc3cd9,Paul,Varelans,,"Jul. 14, 1995"
http://www.ufcstats.com/fighter-details/b361180739bed4b0,David,Abbott,http://www.ufcstats.com/fighter-details/c933d423ebdbbbdb,John,Matua,,"Jul. 14, 1995"
