F1_URL,F1_First,F1_Last,F2_URL,F2_First,F2_Last
http://www.ufcstats.com/fighter-details/07225ba28ae309b6,Charles,Oliveira,http://www.ufcstats.com/fighter-details/4b93a88f3b1de35b,Michael,Chandler
http://www.ufcstats.com/fighter-details/22a92d7f62195791,Tony,Ferguson,http://www.ufcstats.com/fighter-details/08af939f41b5a57b,Beneil,Dariush
http://www.ufcstats.com/fighter-details/0a1942069c9ad6b6,Jack,Hermansson,http://www.ufcstats.com/fighter-details/4144798612ef96e5,Edmen,Shahbazyan
http://www.ufcstats.com/fighter-details/e872e9a9a902c045,Katlyn,Chookagian,http://www.ufcstats.com/fighter-details/36541f1e6c5d4955,Viviane,Araujo
http://www.ufcstats.com/fighter-details/98d961097baaf308,Shane,Burgos,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,Edson,Barboza
http://www.ufcstats.com/fighter-details/7a703c565ccaa18f,Jacare,Souza,http://www.ufcstats.com/fighter-details/886264a0c9f4ea5e,Andre,Muniz
http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e,Matt,Schnell,http://www.ufcstats.com/fighter-details/07a2bdaa0afdd831,Rogerio,Bontorin
http://www.ufcstats.com/fighter-details/f9b200db02b488d9,Lando,Vannata,http://www.ufcstats.com/fighter-details/56fcb2c4d99f9d1b,Mike,Grundy
http://www.ufcstats.com/fighter-details/05fa626cb33d15b8,Andrea,Lee,http://www.ufcstats.com/fighter-details/d7338bcb141abd2c,Antonina,Shevchenko
http://www.ufcstats.com/fighter-details/c878270af633eb11,Jordan,Wright,http://www.ufcstats.com/fighter-details/830f60497fab345a,Jamie,Pickett
http://www.ufcstats.com/fighter-details/016a8d958883167c,Gina,Mazany,http://www.ufcstats.com/fighter-details/b1e5bcaad32a3cac,Priscila,Cachoeira
http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,Kevin,Aguilar,http://www.ufcstats.com/fighter-details/7832f2f62f04178f,Tucker,Lutz
http://www.ufcstats.com/fighter-details/de45aaae23dfa392,Christos,Giagos,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,Joel,Alvarez
