Fight_URL,Event_Name,Event_URL,Fight_Title,Method,Round_Finished,Referee,Stop_Time,F1_URL,F1_First,F1_Last,F1_Status,F1_KD,F1_Total_Str_Landed,F1_Total_Str_Attempted,F1_Sig_Str_Landed,F1_Sig_Str_Attempted,F1_Sig_Str_Head_Landed,F1_Sig_Str_Head_Attempted,F1_Sig_Str_Body_Landed,F1_Sig_Str_Body_Attempted,F1_Sig_Str_Leg_Landed,F1_Sig_Str_Leg_Attempted,F1_Sig_Str_Distance_Landed,F1_Sig_Str_Distance_Attempted,F1_Sig_Str_Clinch_Landed,F1_Sig_Str_Clinch_Attempted,F1_Sig_Str_Ground_Landed,F1_Sig_Str_Ground_Attempted,F1_TD_Landed,F1_TD_Attempted,F1_Sub_Attempted,F1_Rev,F1_CTRL_TIME,F2_URL,F2_First,F2_Last,F2_Status,F2_KD,F2_Total_Str_Landed,F2_Total_Str_Attempted,F2_Sig_Str_Landed,F2_Sig_Str_Attempted,F2_TD_Landed,F2_TD_Attempted,F2_Sub_Attempted,F2_Rev,F2_CTRL_TIME,F2_Sig_Str_Head_Landed,F2_Sig_Str_Head_Attempted,F2_Sig_Str_Body_Landed,F2_Sig_Str_Body_Attempted,F2_Sig_Str_Leg_Landed,F2_Sig_Str_Leg_Attempted,F2_Sig_Str_Distance_Landed,F2_Sig_Str_Distance_Attempted,F2_Sig_Str_Clinch_Landed,F2_Sig_Str_Clinch_Attempted,F2_Sig_Str_Ground_Landed,F2_Sig_Str_Ground_Attempted
http://www.ufcstats.com/fight-details/98a1121ffbc47657,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,http://www.ufcstats.com/event-details/2299605af59fd309,Middleweight Bout,KO/TKO,1,Steve Mazzagatti,1:08,http://www.ufcstats.com/fighter-details/1fd4fbdcc67de844,Drew,McFedries,W,1,22,35,19,32,15,27,3,3,1,2,3,8,15,23,1,1,1,1,0,0,0:05,http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin,Eastman,L,0,7,10,3,6,1,3,0,0,0:12,3,6,0,0,0,0,0,1,3,5,0,0
http://www.ufcstats.com/fight-details/92049ba4483fc840,UFC 197: Jones vs Saint Preux,http://www.ufcstats.com/event-details/3d481aa374c954a1,Heavyweight Bout,KO/TKO,1,Mark Smith,4:18,http://www.ufcstats.com/fighter-details/03f982ca3735070c,Walt,Harris,W,1,40,69,31,58,25,51,4,5,2,2,13,30,4,8,14,20,0,0,0,0,0:00,http://www.ufcstats.com/fighter-details/5713c1d2fac539ac,Cody,East,L,0,26,62,26,62,0,0,0,0,0:39,16,47,3,6,7,9,22,53,4,9,0,0
http://www.ufcstats.com/fight-details/c1df212ba092c404,UFC 67: All or Nothing,http://www.ufcstats.com/event-details/63b65af1c5cb02cb,Light Heavyweight Bout,KO/TKO,2,John McCarthy,3:49,http://www.ufcstats.com/fighter-details/ffc088e64fab57e9,Quinton,Jackson,W,1,55,84,45,74,31,59,12,13,2,2,13,34,31,39,1,1,0,1,0,0,1:01,http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin,Eastman,L,0,25,64,15,54,0,1,0,0,0:31,9,47,5,5,1,2,5,41,10,13,0,0
http://www.ufcstats.com/fight-details/4aef975838bc19ec,UFC 28: High Stakes,http://www.ufcstats.com/event-details/da6dfd09cca1d705,Welterweight Bout,Decision - Unanimous,2,Mario Yamasaki,5:00,http://www.ufcstats.com/fighter-details/ee457ef1e1c326c1,Ben,Earwood,W,0,64,71,5,9,5,9,0,0,0,0,1,1,0,0,4,8,2,2,0,0,9:47,http://www.ufcstats.com/fighter-details/91acd6910b802a9e,Chris,Lytle,L,0,29,31,2,3,0,0,1,0,0:00,0,1,2,2,0,0,2,3,0,0,0,0
http://www.ufcstats.com/fight-details/7929542a0003799f,UFC 81: Breaking Point,http://www.ufcstats.com/event-details/597db668b01c442c,Middleweight Bout,Decision - Unanimous,3,Yves Lavigne,5:00,http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin,Eastman,W,0,72,121,40,89,16,64,15,16,9,9,5,45,35,44,0,0,1,3,0,0,4:14,http://www.ufcstats.com/fighter-details/6a92caba39b64752,Terry,Martin,L,0,74,109,50,85,1,8,0,0,5:34,11,43,26,29,13,13,7,40,43,45,0,0
http://www.ufcstats.com/fight-details/bdad04f0820874b3,DREAM 7: Featherweight Grand Prix 2009 1st Round,http://www.ufcstats.com/event-details/89b8d1bf1ff09d1d,Lightweight Bout,Submission,1,Samio Kimura,4:03,http://www.ufcstats.com/fighter-details/80d918336163b80c,Tatsuya,Kawajiri,W,0,27,35,3,8,1,5,1,1,1,2,1,3,1,2,1,3,2,2,1,0,--,http://www.ufcstats.com/fighter-details/a5b0bd216d8ba84e,Ross,Ebanez,L,0,6,9,3,6,1,1,0,0,--,1,4,2,2,0,0,1,4,2,2,0,0
http://www.ufcstats.com/fight-details/dc9b52352dca15ef,UFC 50: The War Of '04,http://www.ufcstats.com/event-details/ce783bf73b5131f9,Light Heavyweight Bout,KO/TKO,2,Mario Yamasaki,0:33,http://www.ufcstats.com/fighter-details/622f015c81a9b13a,Travis,Lutter,W,1,1,11,1,11,1,11,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0:02,http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin,Eastman,L,0,11,46,10,45,0,0,0,0,0:00,3,37,0,0,7,8,9,42,1,3,0,0
http://www.ufcstats.com/fight-details/4efbd869aa0211d2,UFC Fight Night: Lineker vs. Dodson,http://www.ufcstats.com/event-details/a196332ee4aa8a82,Heavyweight Bout,KO/TKO,2,Dave Hagen,2:02,http://www.ufcstats.com/fighter-details/5713c1d2fac539ac,Cody,East,L,0,40,68,21,47,17,43,0,0,4,4,15,38,4,5,2,4,3,3,0,0,0:24,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,Curtis,Blaydes,W,0,109,149,52,81,5,6,0,0,4:28,41,69,7,8,4,4,10,21,6,12,36,48
http://www.ufcstats.com/fight-details/400aa8a24e1d8997,UFC 43: Meltdown,http://www.ufcstats.com/event-details/108afe61a26bcbf4,Light Heavyweight Bout,KO/TKO,1,John McCarthy,1:07,http://www.ufcstats.com/fighter-details/0ee783aa00e468f0,Vitor,Belfort,W,1,9,12,9,12,8,11,0,0,1,1,1,2,2,2,6,8,0,0,0,0,0:03,http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin,Eastman,L,0,1,5,1,5,0,0,0,0,0:00,0,2,0,0,1,3,1,5,0,0,0,0
http://www.ufcstats.com/fight-details/588d17c61e6a34d7,WFA 1,http://www.ufcstats.com/event-details/d3de4a24f7eefac8,Light Heavyweight Bout,Submission,1,Larry Landless,1:02,http://www.ufcstats.com/fighter-details/d897897060f10a3a,Rich,Franklin,W,0,4,7,4,7,0,3,3,3,1,1,1,3,3,4,0,0,0,0,1,0,--,http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin,Eastman,L,0,3,5,3,5,1,2,0,0,--,3,5,0,0,0,0,1,2,1,2,1,1
